GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DTQ001,DUE001
"G450","1980","A","3","5","South Carolina","45",,,,,,,,,,,,,"SOUTH CAROLINA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",3121820,3121820
"G460","1980","A","2","4","South Dakota","46",,,,,,,,,,,,,"SOUTH DAKOTA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",690768,690768
"G470","1980","A","3","6","Tennessee","47",,,,,,,,,,,,,"TENNESSEE",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4591120,4591120
"G480","1980","A","3","7","Texas","48",,,,,,,,,,,,,"TEXAS",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",14229191,14229191
"G490","1980","A","4","8","Utah","49",,,,,,,,,,,,,"UTAH",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1461037,1461037
"G500","1980","A","1","1","Vermont","50",,,,,,,,,,,,,"VERMONT",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",511456,511456
"G510","1980","A","3","5","Virginia","51",,,,,,,,,,,,,"VIRGINIA",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",5346818,5346818
"G530","1980","A","4","9","Washington","53",,,,,,,,,,,,,"WASHINGTON",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4132156,4132156
"G540","1980","A","3","5","West Virginia","54",,,,,,,,,,,,,"WEST VIRGINIA",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1949644,1949644
"G550","1980","A","2","3","Wisconsin","55",,,,,,,,,,,,,"WISCONSIN",,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",4705767,4705767
"G560","1980","A","4","8","Wyoming","56",,,,,,,,,,,,,"WYOMING",,,,,,"1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",469557,469557
